price,title,url
"Rs 8,500",Adil electronics,https://www.olx.com.pk/item/adil-electronics-IDV6GtM.html
"Rs 30,000",Toshiba Brand New Laptop,https://www.olx.com.pk/item/toshiba-brand-new-laptop-IDV6Nqj.html
"Rs 1,500",Hdmi Switch 5 Port 2k/4k,https://www.olx.com.pk/item/hdmi-switch-5-port-2k-4k-IDWq3sL.html
"Rs 19,000",Dell Inspiron core i 7 model 7566 laptop 16 GB ram,https://www.olx.com.pk/item/dell-inspiron-core-i-7-model-7566-laptop-16-gb-ram-IDV6Nq9.html
"Rs 25,000",School college university office home,https://www.olx.com.pk/item/school-college-university-office-home-IDWWyJb.html
"Rs 4,000",Samsung lcd for sale.,https://www.olx.com.pk/item/samsung-lcd-for-sale-IDV4YT1.html
Rs 999,CM Eagle Cheap Price CPU Cooler – Original Photos,https://www.olx.com.pk/item/cm-eagle-cheap-price-cpu-cooler-original-photos-IDTC8XL.html
"Rs 4,000",Corsair CX-500 Gaming Power Supply,https://www.olx.com.pk/item/corsair-cx-500-gaming-power-supply-IDWfEwv.html
"Rs 2,000",Asus Display Card - 512MB PCIe,https://www.olx.com.pk/item/asus-display-card-512mb-pcie-IDSfAP5.html
"Rs 25,000",Projector point,https://www.olx.com.pk/item/projector-point-IDWTyX2.html
"Rs 24,000",Dell inspiron core i7 Laptop Ram 16GB SSHD Hard Drive ° Warranty ° DVD,https://www.olx.com.pk/item/dell-inspiron-core-i7-laptop-ram-16gb-sshd-hard-drive-warranty-dvd-IDV6HP6.html
"Rs 4,000",Viewsonic perfect Lcd with speakers hdmi to vga cable with it,https://www.olx.com.pk/item/viewsonic-perfect-lcd-with-speakers-hdmi-to-vga-cable-with-it-IDV6Nr2.html
"Rs 2,000",Hitachi 500gb Hard disk,https://www.olx.com.pk/item/hitachi-500gb-hard-disk-IDWiSVJ.html
"Rs 3,500",GX550 550Watt Gaming PSU,https://www.olx.com.pk/item/gx550-550watt-gaming-psu-IDWG21I.html
"Rs 3,000",Vinyl LP - Elvis,https://www.olx.com.pk/item/vinyl-lp-elvis-IDV6Ney.html
"Rs 2,000",Silver&Black Promedia Mid-Tower Casing [1 thing],https://www.olx.com.pk/item/silver-black-promedia-mid-tower-casing-1-thing-IDWp6Qd.html
"Rs 4,700",Monster Hunter Exxng with farcry 5,https://www.olx.com.pk/item/monster-hunter-exxng-with-farcry-5-IDWZGPS.html
"Rs 4,900",Farcry 5 ps4,https://www.olx.com.pk/item/farcry-5-ps4-IDV6MZH.html
"Rs 18,000",Panasonic bass pair and Kenwood japani speakers,https://www.olx.com.pk/item/panasonic-bass-pair-and-kenwood-japani-speakers-IDWEU1H.html
"Rs 8,000",3 playstation for sale in reasonable price,https://www.olx.com.pk/item/3-playstation-for-sale-in-reasonable-price-IDWTSnE.html
"Rs 5,400",GOD OF WAR NOT Exchng Offer Only Cash,https://www.olx.com.pk/item/god-of-war-not-exchng-offer-only-cash-IDV2kty.html
"Rs 31,000",Ps4 Slim Box Packed 1Year Warantee Got Unwanted Gift From UK Region 2,https://www.olx.com.pk/item/ps4-slim-box-packed-1year-warantee-got-unwanted-gift-from-uk-region-2-IDV6N1j.html
"Rs 3,600",Tekken 7 for ps4,https://www.olx.com.pk/item/tekken-7-for-ps4-IDV6N1D.html
"Rs 1,500",Nintendo Wii Game,https://www.olx.com.pk/item/nintendo-wii-game-IDV6N6H.html
"Rs 12,000",Hover Board wheel balancer,https://www.olx.com.pk/item/hover-board-wheel-balancer-IDV6MYD.html
"Rs 6,000",Plysthn for sale,https://www.olx.com.pk/item/plysthn-for-sale-IDV6N7a.html
"Rs 12,000",Beats Solo 3 headphones,https://www.olx.com.pk/item/beats-solo-3-headphones-IDV6N7u.html
Rs 100,Ps3 games withput delet ypur previous games any model super ultra slim,https://www.olx.com.pk/item/ps3-games-withput-delet-ypur-previous-games-any-model-super-ultra-slim-IDV6N72.html
"Rs 1,500",PlayStation 2 original games pack 3 cds,https://www.olx.com.pk/item/playstation-2-original-games-pack-3-cds-IDWVZMd.html
"Rs 10,500",Playstation 3 80gb non jailbreak,https://www.olx.com.pk/item/playstation-3-80gb-non-jailbreak-IDV57vW.html
"Rs 20,000",Sony PS4 500gb matte black,https://www.olx.com.pk/item/sony-ps4-500gb-matte-black-IDV6N8B.html
"Rs 3,400",Official Sony PS4 Wireless Charging Mat,https://www.olx.com.pk/item/official-sony-ps4-wireless-charging-mat-IDWyM8E.html
"Rs 1,900",Xbox 360 headset for live chat,https://www.olx.com.pk/item/xbox-360-headset-for-live-chat-IDV2dQ3.html
"Rs 1,500",Nintendo Wii original 2 games & 1 PS2 original game.,https://www.olx.com.pk/item/nintendo-wii-original-2-games-1-ps2-original-game-IDV6JA2.html
"Rs 1,500","XBOX 360 Power Supply (12V, 16.5A)",https://www.olx.com.pk/item/xbox-360-power-supply-12v-16-5a-IDV6qeJ.html
"Rs 1,500",Destiny ps4,https://www.olx.com.pk/item/destiny-ps4-IDV6qbp.html
"Rs 2,500",Ps3 Games For Sale,https://www.olx.com.pk/item/ps3-games-for-sale-IDV6q7M.html
"Rs 2,500",Watch dogs 2,https://www.olx.com.pk/item/watch-dogs-2-IDV6qaA.html
"Rs 3,000",Dishonored 2 ps4,https://www.olx.com.pk/item/dishonored-2-ps4-IDV6Nbd.html
"Rs 2,500",Dark souls 3 bandai namco playstation 4 pro ps4 sony 4k games uhd hdr,https://www.olx.com.pk/item/dark-souls-3-bandai-namco-playstation-4-pro-ps4-sony-4k-games-uhd-hdr-IDWYQsr.html
"Rs 1,700","Assassins Creed Unity , Ubisoft , Playstation 4 Pro ps4 Sony 4k games",https://www.olx.com.pk/item/assassins-creed-unity-ubisoft-playstation-4-pro-ps4-sony-4k-games-IDWYLj3.html
"Rs 5,300",Turtle Beach Recon 50X Headset,https://www.olx.com.pk/item/turtle-beach-recon-50x-headset-IDV2Nj1.html
"Rs 2,200",The witcher 3 wild hunt ps4,https://www.olx.com.pk/item/the-witcher-3-wild-hunt-ps4-IDV6NbP.html
"Rs 3,000",Stearing wheel and padels.,https://www.olx.com.pk/item/stearing-wheel-and-padels-IDV6NbR.html
"Rs 2,200",Skyrim elder scrolls bethesda playstation 4 pro ps4 sony 4k games hdr,https://www.olx.com.pk/item/skyrim-elder-scrolls-bethesda-playstation-4-pro-ps4-sony-4k-games-hdr-IDWYQp2.html
"Rs 1,400",Fifa 17 ea sports playstation 4 pro 4k games sony ps4 best graphics,https://www.olx.com.pk/item/fifa-17-ea-sports-playstation-4-pro-4k-games-sony-ps4-best-graphics-IDV3ypB.html
"Rs 1,400","Fallout 4 bethesda , Playstation 4 pro ps4 4k games sony fo4",https://www.olx.com.pk/item/fallout-4-bethesda-playstation-4-pro-ps4-4k-games-sony-fo4-IDWYQhc.html
"Rs 3,200",Stearing wheel and padels.,https://www.olx.com.pk/item/stearing-wheel-and-padels-IDV6Nc2.html
"Rs 1,800",Assetto corsa 505 games playstation 4 pro ps4 4k games sony uhd hdr,https://www.olx.com.pk/item/assetto-corsa-505-games-playstation-4-pro-ps4-4k-games-sony-uhd-hdr-IDWYQi8.html
"Rs 30,000",32 inch led with gaming pc,https://www.olx.com.pk/item/32-inch-led-with-gaming-pc-IDV6Neh.html
"Rs 1,600",Tom clancy the division tctd ps4 pro Playstation sony 4k games ubisoft,https://www.olx.com.pk/item/tom-clancy-the-division-tctd-ps4-pro-playstation-sony-4k-games-ubisoft-IDV1t5Q.html
"Rs 1,900",Titanfall 2 titan fall 2 tf2 playstation 4 pro ps4 sony 4k games hdr,https://www.olx.com.pk/item/titanfall-2-titan-fall-2-tf2-playstation-4-pro-ps4-sony-4k-games-hdr-IDWYQnO.html
"Rs 1,100",Playstation 3 joystick controller dualshock 3 ds3 ps3 ps sony wireless,https://www.olx.com.pk/item/playstation-3-joystick-controller-dualshock-3-ds3-ps3-ps-sony-wireless-IDV5fwQ.html
"Rs 2,500",Until dawn PlayStation 4,https://www.olx.com.pk/item/until-dawn-playstation-4-IDV5EY8.html
"Rs 3,900",Call of duty world war 2 cod ww2 ww ii ubisoft playstation 4 games pro,https://www.olx.com.pk/item/call-of-duty-world-war-2-cod-ww2-ww-ii-ubisoft-playstation-4-games-pro-IDV4Pba.html
"Rs 4,500",Grand turismo sport PS4 game brand new,https://www.olx.com.pk/item/grand-turismo-sport-ps4-game-brand-new-IDV5tzB.html
"Rs 17,000",Playstation 3 ps3 slim 250gb with 6 games fifa 15,https://www.olx.com.pk/item/playstation-3-ps3-slim-250gb-with-6-games-fifa-15-IDWYVH5.html
"Rs 7,600",Samsung Led TV - Super bright screen resolution 22inch,https://www.olx.com.pk/item/samsung-led-tv-super-bright-screen-resolution-22inch-IDWUtSw.html
"Rs 10,550",Samsung Malaysian LED TV box pack with free delivery,https://www.olx.com.pk/item/samsung-malaysian-led-tv-box-pack-with-free-delivery-IDWRR1S.html
"Rs 21,550",Sony 32 inch Smart LED TV box pack with free delivery,https://www.olx.com.pk/item/sony-32-inch-smart-led-tv-box-pack-with-free-delivery-IDWSw6R.html
"Rs 12,500",Smart LED32 inch,https://www.olx.com.pk/item/smart-led32-inch-IDV6Nhe.html
"Rs 2,250",Mpow Bluetooth 4.1 Transmitter/Receiver,https://www.olx.com.pk/item/mpow-bluetooth-4-1-transmitter-receiver-IDV6NgE.html
"Rs 86,000",Most Dramatic Display 3D^Smart 60''Samsung's UltraHD Led's Rs.86k,https://www.olx.com.pk/item/most-dramatic-display-3dsmart-60samsungs-ultrahd-leds-rs-86k-IDWDSp6.html
"Rs 2,000",BONEY M Oceans of Fantasy LP Vinyl Record,https://www.olx.com.pk/item/boney-m-oceans-of-fantasy-lp-vinyl-record-IDV6LJp.html
"Rs 60,000","Superior Picture Quality Samsung's 52''Stunning Android Led's Rs.60,00",https://www.olx.com.pk/item/superior-picture-quality-samsungs-52stunning-android-leds-rs-60-00-IDWDGQO.html
"Rs 1,200",AV to HDMI Converter,https://www.olx.com.pk/item/av-to-hdmi-converter-IDV0nKm.html
"Rs 2,000",AGPtek 4.1 Wireless Switchable Portable Transmitter,https://www.olx.com.pk/item/agptek-4-1-wireless-switchable-portable-transmitter-IDV6Ni6.html
"Rs 21,000","Here It Comes!-AndroidHD^Samsung^Smart 32inch Led Tv's Rs.21,000/.",https://www.olx.com.pk/item/here-it-comes-androidhdsamsungsmart-32inch-led-tvs-rs-21-000-IDWFqUz.html
"Rs 60,000","Perfect Color 52inch 3D^Samsung Ultra-Smart Led Tv's Rs.60,000/.",https://www.olx.com.pk/item/perfect-color-52inch-3dsamsung-ultra-smart-led-tvs-rs-60-000-IDWDpWz.html
"Rs 60,000","High Ranked 55''Smart Samsung Ultra Slim Led's Rs.60,000/.",https://www.olx.com.pk/item/high-ranked-55smart-samsung-ultra-slim-leds-rs-60-000-IDWEoFa.html
"Rs 2,000",BONEY M Night Flight to Venus LP Vinyl Record,https://www.olx.com.pk/item/boney-m-night-flight-to-venus-lp-vinyl-record-IDV6LGI.html
"Rs 2,000",Michael Jackson's THRILLER LP Vinyl Record,https://www.olx.com.pk/item/michael-jacksons-thriller-lp-vinyl-record-IDV6LGX.html
"Rs 1,500",Elvis Presley in Concert LP Vinyl Record (2 LPs),https://www.olx.com.pk/item/elvis-presley-in-concert-lp-vinyl-record-2-lps-IDV6LE4.html
"Rs 1,000",ABBA Arrival LP Vinyl Record,https://www.olx.com.pk/item/abba-arrival-lp-vinyl-record-IDV6LWN.html
"Rs 1,000",ABBA The Visitors LP Vinyl Record,https://www.olx.com.pk/item/abba-the-visitors-lp-vinyl-record-IDV6LRD.html
"Rs 1,000",ABBA Voulez Vouz LP Vinyl Record,https://www.olx.com.pk/item/abba-voulez-vouz-lp-vinyl-record-IDV6LPd.html
"Rs 1,500",BEE GEES Massachusetts LP Vinyl Record,https://www.olx.com.pk/item/bee-gees-massachusetts-lp-vinyl-record-IDV6LL8.html
"Rs 31,000","Non Stop Fun,42""Shinning Bright Samsung^Finest Smart^Android Led's.",https://www.olx.com.pk/item/non-stop-fun-42-shinning-bright-samsungfinest-smartandroid-leds-IDWEgLe.html
"Rs 1,299",Stereo Bluetooth Sunglasses - Black,https://www.olx.com.pk/item/stereo-bluetooth-sunglasses-black-IDWk0vR.html
"Rs 27,000","Watch World 42""UltraSlim Samsung FullHD Led's",https://www.olx.com.pk/item/watch-world-42-ultraslim-samsung-fullhd-leds-IDWCxFn.html
"Rs 1,500",BEE GEES Bonanza LP Vinyl Record (2LPs),https://www.olx.com.pk/item/bee-gees-bonanza-lp-vinyl-record-2lps-IDV6LO6.html
"Rs 18,000","Mind Blowing 32inchs SonyBrawia HDTV 1080p Led Tv's PKR.18,000/.",https://www.olx.com.pk/item/mind-blowing-32inchs-sonybrawia-hdtv-1080p-led-tvs-pkr-18-000-IDWDGSF.html
"Rs 34,000","Eye-Catching 42''Sony Smart Curved Android Led's Rs.34,000/.",https://www.olx.com.pk/item/eye-catching-42sony-smart-curved-android-leds-rs-34-000-IDWDGS9.html
Rs 500,Omage dvd player,https://www.olx.com.pk/item/omage-dvd-player-IDWgaUA.html
"Rs 2,500",BEETLES at the Hollywood Bowl LP Vinyl Record,https://www.olx.com.pk/item/beetles-at-the-hollywood-bowl-lp-vinyl-record-IDV6LAs.html
"Rs 27,000","Live Image Quality 42inchs Ultimate HQ SonyBravia Led's Rs.27,000.",https://www.olx.com.pk/item/live-image-quality-42inchs-ultimate-hq-sonybravia-leds-rs-27-000-IDWEoYB.html
"Rs 1,02,000","Full Featured UHD SmartTv Sony's 65inchs Crystal Led Tv's PKR.102,000/",https://www.olx.com.pk/item/full-featured-uhd-smarttv-sonys-65inchs-crystal-led-tvs-pkr-102-000-IDWDpYI.html
"Rs 72,000",Briliant Quality!-Samsung^3D-Display 55inch Android Smart Led's Rs.72k,https://www.olx.com.pk/item/briliant-quality-samsung3d-display-55inch-android-smart-leds-rs-72k-IDWFro2.html
"Rs 17,000",Samsung 32 inch led tv,https://www.olx.com.pk/item/samsung-32-inch-led-tv-IDV6N8K.html
"Rs 1,300",Air smart remote wirelss new box pack cash on dellivery,https://www.olx.com.pk/item/air-smart-remote-wirelss-new-box-pack-cash-on-dellivery-IDWp81W.html
"Rs 47,500","Now Presenting,Samsung ^Smart 52''Ultra Slim 4K Led's Rs.47,500/",https://www.olx.com.pk/item/now-presenting-samsung-smart-52ultra-slim-4k-leds-rs-47-500-IDWDSwg.html
"Rs 9,500",Samsung Compact Home Theatre Speaker Set,https://www.olx.com.pk/item/samsung-compact-home-theatre-speaker-set-IDV2imT.html
"Rs 11,500",Multimedia projector,https://www.olx.com.pk/item/multimedia-projector-IDV5i0a.html
"Rs 13,001",Multimedia projectors available,https://www.olx.com.pk/item/multimedia-projectors-available-IDUX1EY.html
"Rs 20,000",Samsung Smart TV 32 Inch With Internet system also playing Games.,https://www.olx.com.pk/item/samsung-smart-tv-32-inch-with-internet-system-also-playing-games-IDV6Nqh.html
"Rs 12,000",Multimedia projector available,https://www.olx.com.pk/item/multimedia-projector-available-IDUXi82.html
